image_url,artist,title,top_year,class,youtube_top_url,yt_id,is_downloaded,mood,per
https://cdnimg.melon.co.kr/cm/album/images/000/04/410/4410_500.jpg/melon/resize/48/quality/80/optimize,윤시내,고목,1980,kpop,https://youtube.com/watch?v=C-ZWHdSgrdA,C-ZWHdSgrdA,True,romantic,0.5754
https://cdnimg.melon.co.kr/cm/album/images/020/14/775/2014775_500.jpg/melon/resize/48/quality/80/optimize,희자매,그 사람 바보,1980,kpop,https://youtube.com/watch?v=4lEhHkdLl-0,4lEhHkdLl-0,True,romantic,0.3364
https://cdnimg.melon.co.kr/cm/album/images/000/03/556/3556_500.jpg/melon/resize/48/quality/80/optimize,계은숙,기다리는 여심,1980,kpop,https://youtube.com/watch?v=hpWvqLQSflY,hpWvqLQSflY,True,romantic,0.689
https://cdnimg.melon.co.kr/cm/album/images/000/08/105/8105_500.jpg/melon/resize/48/quality/80/optimize,윤항기,나는 행복합니다,1980,kpop,https://youtube.com/watch?v=-6Zd1mhlHRA,-6Zd1mhlHRA,True,happy,0.6018
https://cdnimg.melon.co.kr/cm/album/images/000/79/672/79672_500.jpg/melon/resize/48/quality/80/optimize,김학래,내가 (대상),1980,kpop,https://youtube.com/watch?v=ivkRj7NRz8g,ivkRj7NRz8g,True,romantic,0.2546
https://cdnimg.melon.co.kr/cm/album/images/000/04/828/4828_500.jpg/melon/resize/48/quality/80/optimize,조용필,단발머리,1980,kpop,https://youtube.com/watch?v=43nmgwdMu54,43nmgwdMu54,True,romantic,0.4282
https://cdnimg.melon.co.kr/cm/album/images/000/04/223/4223_500.jpg/melon/resize/48/quality/80/optimize,심수봉,당신은 누구시길래,1980,kpop,https://youtube.com/watch?v=lAIU0_89nzA,lAIU0_89nzA,True,romantic,0.4822
https://cdnimg.melon.co.kr/cm/album/images/003/10/646/310646_500.jpg/melon/resize/48/quality/80/optimize,박인수,당신은 별을 보고 울어 보셨나요,1980,kpop,https://youtube.com/watch?v=1mEUHT9blng,1mEUHT9blng,True,romantic,0.6857
https://cdnimg.melon.co.kr/cm/album/images/022/62/323/2262323_500.jpg/melon/resize/48/quality/80/optimize,지다연,동반자,1980,kpop,https://youtube.com/watch?v=R3VwCq8tP8k,R3VwCq8tP8k,True,romantic,0.4637
https://cdnimg.melon.co.kr/cm/album/images/003/41/767/341767_500.jpg/melon/resize/48/quality/80/optimize,이치현과 벗님들,또 만났네,1980,kpop,https://youtube.com/watch?v=IiewsWsS9C8,IiewsWsS9C8,True,happy,0.5772
https://cdnimg.melon.co.kr/cm/album/images/003/10/111/310111_500.jpg/melon/resize/48/quality/80/optimize,유한그루,물레,1980,kpop,https://youtube.com/watch?v=5sOS5LTT6yQ,5sOS5LTT6yQ,True,romantic,0.4199
https://cdnimg.melon.co.kr/cm/album/images/000/08/731/8731_500.jpg/melon/resize/48/quality/80/optimize,Nami (나미),미운정 고운정,1980,kpop,https://youtube.com/watch?v=rueuho2GkYk,rueuho2GkYk,True,romantic,0.4055
https://cdnimg.melon.co.kr/cm/album/images/003/60/109/360109_500.jpg/melon/resize/48/quality/80/optimize,김태화,난 참 바보처럼 살았군요,1980,kpop,https://youtube.com/watch?v=vN2nSpcTsR0,vN2nSpcTsR0,True,sad,0.5359
https://cdnimg.melon.co.kr/cm/album/images/003/13/442/313442_500.jpg/melon/resize/48/quality/80/optimize,하성관,빙빙빙,1980,kpop,https://youtube.com/watch?v=VPM8MVyBWzE,VPM8MVyBWzE,True,romantic,0.3645
https://cdnimg.melon.co.kr/cm/album/images/000/04/828/4828_500.jpg/melon/resize/48/quality/80/optimize,조용필,사랑은 아직도 끝나지 않았네,1980,kpop,https://youtube.com/watch?v=T9l_GOaO5mw,T9l_GOaO5mw,True,romantic,0.4999
https://cdnimg.melon.co.kr/cm/album/images/006/99/156/699156_500.jpg/melon/resize/48/quality/80/optimize,양희은,사랑이야,1980,kpop,https://youtube.com/watch?v=lQ7hm3VhyUI,lQ7hm3VhyUI,True,romantic,0.5356
https://cdnimg.melon.co.kr/cm/album/images/000/16/146/16146_500.jpg/melon/resize/48/quality/80/optimize,이영화,실비 오는 소리에,1980,kpop,https://youtube.com/watch?v=c5L0VDgFRj8,c5L0VDgFRj8,True,romantic,0.4845
