image_url,artist,title,top_year,class
https://cdnimg.melon.co.kr/cm/album/images/000/04/838/4838_500.jpg/melon/resize/48/quality/80/optimize,조용필,물망초,1981,kpop
https://cdnimg.melon.co.kr/cm/album/images/000/04/838/4838_500.jpg/melon/resize/48/quality/80/optimize,조용필,미워 미워 미워,1981,kpop
https://cdnimg.melon.co.kr/cm/album/images/000/06/739/6739_500.jpg/melon/resize/48/quality/80/optimize,이용,바람이려오,1981,kpop
https://cdnimg.melon.co.kr/cm/album/images/020/37/926/2037926_500.jpg/melon/resize/48/quality/80/optimize,야생마,벌써 나를 잊으셨나요,1981,kpop
https://cdnimg.melon.co.kr/cm/album/images/000/05/590/5590_500.jpg/melon/resize/48/quality/80/optimize,김만수,"별, 달, 장미, 백합",1981,kpop
https://cdnimg.melon.co.kr/cm/album/images/000/06/131/6131_500.jpg/melon/resize/48/quality/80/optimize,사랑의 하모니,별이여 사랑이여,1981,kpop
https://cdnimg.melon.co.kr/cm/album/images/000/03/556/3556_500.jpg/melon/resize/48/quality/80/optimize,계은숙,보고픈걸 어떻게,1981,kpop
https://cdnimg.melon.co.kr/cm/album/images/003/08/430/308430_500.jpg/melon/resize/48/quality/80/optimize,김현식,봄 여름 가을 겨울,1981,kpop
https://cdnimg.melon.co.kr/cm/album/images/003/11/596/311596_500.jpg/melon/resize/48/quality/80/optimize,유심초,사랑이여!,1981,kpop
https://cdnimg.melon.co.kr/cm/album/images/023/10/872/2310872_500.jpg/melon/resize/48/quality/80/optimize,들고양이들,생각이 나면,1981,kpop
https://cdnimg.melon.co.kr/cm/album/images/000/06/220/6220_500.jpg/melon/resize/48/quality/80/optimize,백영규,성아의 이야기,1981,kpop
https://cdnimg.melon.co.kr/cm/album/images/000/04/215/4215_500.jpg/melon/resize/48/quality/80/optimize,신중현과 뮤직파워,아름다운 강산,1981,kpop
https://cdnimg.melon.co.kr/cm/album/images/003/52/558/352558_500.jpg/melon/resize/48/quality/80/optimize,솔개 트리오,아직도 못다한 사랑,1981,kpop
https://cdnimg.melon.co.kr/cm/album/images/000/04/786/4786_500.jpg/melon/resize/48/quality/80/optimize,전영록,애원,1981,kpop
https://cdnimg.melon.co.kr/cm/album/images/022/56/656/2256656_500.jpg/melon/resize/48/quality/80/optimize,민해경,어느 소녀의 사랑 이야기,1981,kpop
https://cdnimg.melon.co.kr/cm/album/images/003/11/596/311596_500.jpg/melon/resize/48/quality/80/optimize,유심초,어디서 무엇이 되어 다시 만나랴,1981,kpop
https://cdnimg.melon.co.kr/cm/album/images/000/10/239/10239_500.jpg/melon/resize/48/quality/80/optimize,한경애,옛시인의 노래,1981,kpop
https://cdnimg.melon.co.kr/cm/album/images/003/10/453/310453_500.jpg/melon/resize/48/quality/80/optimize,혜은이,옛사랑의 돌담길,1981,kpop
https://cdnimg.melon.co.kr/cm/album/images/007/41/754/741754_500.jpg/melon/resize/48/quality/80/optimize,백영규,우리만나요 처음만난 그곳에서,1981,kpop
https://cdnimg.melon.co.kr/cm/album/images/000/04/838/4838_500.jpg/melon/resize/48/quality/80/optimize,조용필,일편단심 민들레야,1981,kpop
https://cdnimg.melon.co.kr/cm/album/images/000/04/836/4836_500.jpg/melon/resize/48/quality/80/optimize,조용필,잊기로 했네,1981,kpop
https://cdnimg.melon.co.kr/cm/album/images/003/57/541/357541_500.jpg/melon/resize/48/quality/80/optimize,윤수일,제2의 고향,1981,kpop
https://cdnimg.melon.co.kr/cm/album/images/000/03/994/3994_500.jpg/melon/resize/48/quality/80/optimize,방미,주저하지 말아요,1981,kpop
https://cdnimg.melon.co.kr/cm/album/images/100/28/983/10028983_500.jpg/melon/resize/48/quality/80/optimize,김미성,진정인가요,1981,kpop
https://cdnimg.melon.co.kr/cm/album/images/000/08/231/8231_500.jpg/melon/resize/48/quality/80/optimize,김민식,첫 사랑의 생일,1981,kpop
https://cdnimg.melon.co.kr/cm/album/images/000/04/005/4005_500.jpg/melon/resize/48/quality/80/optimize,산울림,청춘,1981,kpop
https://cdnimg.melon.co.kr/cm/album/images/000/35/173/35173_500.jpg/melon/resize/48/quality/80/optimize,마그마,해야,1981,kpop
https://cdnimg.melon.co.kr/cm2/album/images/003/10/826/310826_20230725093901_500.jpg/melon/resize/48/quality/80/optimize,희자매,행복하세요,1981,kpop
https://cdnimg.melon.co.kr/cm2/album/images/022/85/452/2285452_20240320155017_500.jpg/melon/resize/48/quality/80/optimize,동그라미,같이 있게 해주세요,1982,kpop
https://cdnimg.melon.co.kr/cm/album/images/000/50/313/50313_500.jpg/melon/resize/48/quality/80/optimize,옥슨 80,그대 떠난 이밤에,1982,kpop
https://cdnimg.melon.co.kr/cm/album/images/000/03/556/3556_500.jpg/melon/resize/48/quality/80/optimize,계은숙,기다리는 여심,1982,kpop
